"last_name, first_name","player_id","year","hit","strikeout","walk","batting_avg","slg_percent","babip","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_hit_ground","xba",""
"Pujols, Albert","405395","2022","83","55","28",".270",".550",".252","1","13","10","22",".262",
"Cabrera, Miguel","408234","2022","101","101","28",".254",".317",".324","1","11","3","37",".234",
"Molina, Yadier","425877","2022","56","40","5",".214",".302",".234","2","10","2","13",".230",
"Cano, Robinson","429664","2022","15","25","4",".150",".190",".189","0","2","0","6",".209",
"Suzuki, Kurt","435559","2022","25","29","15",".180",".295",".194","0","3","2","3",".191",
"Cruz Jr., Nelson","443558","2022","105","119","49",".234",".337",".295","4","16","4","40",".241",
"Peralta, David","444482","2022","110","114","41",".251",".415",".307","1","8","4","32",".249",
"Escobar, Alcides","444876","2022","27","32","5",".218",".282",".293","1","1","2","9",".210",
"Longoria, Evan","446334","2022","65","83","27",".244",".451",".297","0","6","2","19",".233",
"Blackmon, Charlie","453568","2022","140","109","32",".264",".419",".304","4","10","8","37",".256",
"Maldonado, Martin","455117","2022","64","116","22",".186",".352",".228","0","6","7","16",".181",
"Chirinos, Robinson","455139","2022","35","67","19",".179",".287",".248","1","4","4","9",".168",
"Cain, Lorenzo","456715","2022","26","36","8",".179",".234",".229","2","4","2","15",".200",
"Solano, Donovan","456781","2022","79","61","19",".284",".385",".349","0","5","5","21",".268",
"McCutchen, Andrew","457705","2022","122","124","57",".237",".384",".278","8","10","4","36",".252",
"Turner, Justin","457759","2022","130","89","50",".278",".438",".313","3","13","6","30",".267",
"Votto, Joey","458015","2022","66","97","44",".205",".370",".257","0","8","10","18",".218",
"Andrus, Elvis","462101","2022","133","92","39",".249",".404",".272","18","11","3","43",".245",
"Santana, Carlos","467793","2022","87","88","71",".202",".376",".209","0","9","2","21",".253",
"Belt, Brandon","474832","2022","54","81","37",".213",".350",".277","1","9","6","12",".215",
"Lowrie, Jed","476704","2022","30","39","15",".180",".263",".213","1","5","0","9",".197",
"Brantley Jr., Michael","488726","2022","70","30","31",".288",".416",".311","1","1","1","19",".310",
"Gurriel, Yuli","493329","2022","132","73","30",".242",".360",".266","8","13","6","53",".240",
"Rojas, Miguel","500743","2022","111","61","26",".236",".323",".258","9","12","6","37",".264",
"Escobar, Eduardo","500871","2022","119","129","40",".240",".430",".281","0","4","1","25",".243",
"Adrianza, Ehire","501303","2022","17","25","11",".175",".206",".233","1","2","1","6",".222",
"Pham, Tommy","502054","2022","131","167","56",".236",".374",".304","8","20","7","49",".238",
"Martinez, J.D.","502110","2022","146","145","52",".274",".448",".345","0","20","5","36",".260",
"Goldschmidt, Paul","502671","2022","178","141","79",".317",".578",".368","7","7","5","54",".261",
"Gonzalez, Marwin","503556","2022","34","54","14",".185",".321",".222","3","8","4","6",".217",
"Altuve, Jose","514888","2022","158","87","66",".300",".533",".315","18","13","10","48",".269",
"Hernandez, Cesar","514917","2022","139","114","45",".248",".318",".309","10","9","7","62",".248",
"Segura, Jean","516416","2022","98","58","25",".277",".387",".307","13","16","7","49",".254",
"Marte, Starling","516782","2022","136","97","26",".292",".468",".340","18","18","13","45",".276",
"Culberson, Charlie","518586","2022","29","31","5",".252",".357",".329","2","5","0","14",".226",
"d'Arnaud, Travis","518595","2022","106","90","19",".268",".472",".306","0","12","11","34",".247",
"Donaldson, Josh","518626","2022","106","148","54",".222",".374",".283","2","13","8","35",".215",
"Freeman, Freddie","518692","2022","199","102","84",".325",".511",".359","13","6","5","59",".313",
"Grandal, Yasmani","518735","2022","66","79","45",".202",".269",".249","1","8","2","27",".217",
"Heyward, Jason","518792","2022","28","32","11",".204",".277",".260","1","3","3","9",".218",
"LeMahieu, DJ","518934","2022","122","71","67",".261",".377",".285","4","12","4","45",".274",
"Moustakas, Mike","519058","2022","54","75","24",".214",".345",".272","2","8","6","14",".195",
"Rizzo, Anthony","519203","2022","104","101","58",".224",".480",".216","6","13","23","22",".239",
"Romine, Austin","519222","2022","20","46","4",".155",".248",".212","0","2","1","8",".159",
"Stanton, Giancarlo","519317","2022","84","137","50",".211",".462",".227","0","8","0","27",".240",
"Vogt, Stephen","519390","2022","27","46","17",".161",".321",".168","1","4","2","6",".211",
"Perez, Salvador","521692","2022","113","109","18",".254",".465",".285","0","9","7","30",".242",
"Flores, Wilmer","527038","2022","120","103","59",".229",".394",".246","0","7","11","36",".233",
"Garcia, Avisail","541645","2022","80","109","17",".224",".317",".298","4","12","4","35",".230",
"Bethancourt, Christian","542194","2022","80","80","12",".252",".409",".304","5","6","2","30",".255",
"Ozuna, Marcell","542303","2022","106","122","31",".226",".413",".252","2","12","2","29",".256",
"Villar, Jonathan","542340","2022","42","59","15",".208",".302",".275","7","4","0","18",".208",
"Ortega, Rafael","542364","2022","76","74","44",".241",".358",".285","12","10","2","15",".241",
"Aguilar, Jesus","542583","2022","109","119","28",".235",".379",".278","1","8","4","29",".240",
"Berti, Jon","542932","2022","86","89","42",".240",".338",".308","41","6","3","35",".236",
"Crawford, Brandon","543063","2022","94","98","39",".231",".344",".280","1","12","8","33",".217",
"Cron, C.J.","543068","2022","148","164","43",".257",".468",".307","0","16","8","39",".243",
"Gomes, Yan","543228","2022","65","47","8",".235",".365",".252","2","15","3","15",".251",
"Grossman, Robbie","543257","2022","86","129","56",".209",".311",".283","6","3","6","19",".205",
"Harrison, Josh","543281","2022","99","71","21",".256",".370",".297","2","9","14","32",".233",
"Hicks, Aaron","543305","2022","83","109","62",".216",".313",".279","10","10","4","35",".218",
"Higashioka, Kyle","543309","2022","52","52","12",".227",".389",".246","0","5","1","17",".254",
"Hosmer, Eric","543333","2022","102","64","37",".268",".382",".304","0","12","1","42",".258",
"McCann, James","543510","2022","34","46","11",".195",".282",".244","3","5","4","9",".237",
"Miller, Brad","543543","2022","47","70","18",".212",".320",".274","4","3","0","21",".205",
"Nola, Austin","543592","2022","87","60","34",".251",".329",".284","2","5","6","35",".256",
"Rendon, Anthony","543685","2022","38","35","23",".229",".380",".258","2","7","2","9",".241",
"Semien, Marcus","543760","2022","163","120","53",".248",".429",".263","25","7","4","47",".243",
"Springer III, George","543807","2022","137","100","54",".267",".472",".285","14","7","7","41",".265",
"Vazquez, Christian","543877","2022","109","69","22",".274",".399",".310","1","10","3","27",".262",
"Wong, Kolten","543939","2022","108","88","46",".251",".430",".280","17","5","14","30",".235",
"Gregorius, Didi","544369","2022","45","36","13",".210",".304",".246","1","0","3","15",".237",
"Garcia, Leury","544725","2022","63","65","7",".210",".267",".255","2","6","3","28",".233",
"Vargas, Ildemaro","545121","2022","55","23","8",".263",".392",".279","3","6","3","24",".227",
"Grichuk, Randal","545341","2022","131","127","24",".259",".425",".309","4","12","6","59",".229",
"Stassi, Max","545358","2022","60","112","38",".180",".303",".239","0","12","2","26",".180",
"Trout, Mike","545361","2022","124","139","54",".283",".630",".323","1","6","6","22",".265",
"Herrera, Odubel","546318","2022","44","42","11",".238",".378",".281","6","3","0","20",".225",
"Almora Jr., Albert","546991","2022","48","46","17",".223",".349",".261","3","9","1","15",".233",
"Harper, Bryce","547180","2022","106","87","46",".286",".514",".324","11","13","3","24",".288",
"Abreu, Jose","547989","2022","183","110","62",".304",".446",".350","0","19","12","65",".296",
"Diaz, Elias","553869","2022","80","82","25",".228",".368",".270","0","8","2","29",".222",
"Narvaez, Omar","553882","2022","54","57","29",".206",".305",".248","0","4","3","9",".207",
"Suarez, Eugenio","553993","2022","128","196","73",".236",".459",".302","0","12","8","31",".220",
"Urshela, Gio","570482","2022","143","96","41",".285",".429",".326","1","21","2","51",".268",
"Schoop, Jonathan","570731","2022","97","107","19",".202",".322",".234","5","15","6","31",".228",
"Arenado, Nolan","571448","2022","163","72","52",".293",".533",".290","5","15","7","42",".266",
"Barnhart, Tucker","571466","2022","62","74","25",".221",".267",".296","0","7","1","30",".201",
"Farmer, Kyle","571657","2022","134","99","33",".255",".386",".286","4","20","16","44",".258",
"Haniger, Mitch","571745","2022","55","65","20",".246",".429",".293","0","7","1","16",".245",
"Hernandez, Enrique","571771","2022","80","71","34",".222",".338",".257","0","11","3","31",".238",
"Lamb, Jake","571875","2022","21","38","11",".216",".392",".321","0","4","3","3",".215",
"Maile, Luke","571912","2022","40","54","19",".221",".326",".291","0","6","3","12",".194",
"Muncy, Max","571970","2022","91","141","90",".196",".384",".227","2","2","5","21",".208",
"Myers, Wil","571976","2022","68","86","21",".261",".398",".357","2","7","1","25",".225",
"Naquin, Tyler","571980","2022","71","93","19",".229",".423",".291","4","3","4","20",".247",
"Piscotty, Stephen","572039","2022","24","48","9",".190",".341",".253","2","2","2","7",".216",
"Pollock, AJ","572041","2022","120","98","32",".245",".389",".278","3","13","2","39",".258",
"Taylor, Michael A.","572191","2022","105","109","35",".254",".357",".321","4","6","2","44",".223",
"Thompson, Trayce","572204","2022","56","93","32",".256",".507",".374","4","2","2","9",".251",
"Voit III, Luke","572228","2022","113","179","55",".226",".402",".298","1","9","7","22",".222",
"Walker, Christian","572233","2022","141","131","69",".242",".477",".248","2","15","8","42",".257",
"Zunino, Mike","572287","2022","17","46","6",".148",".304",".185","0","2","1","4",".182",
"Carpenter, Matt","572761","2022","39","35","19",".305",".727",".304","0","2","5","7",".230",
"Dickerson, Corey","572816","2022","75","48","12",".267",".399",".301","0","4","2","27",".264",
"Ruf, Darin","573131","2022","68","105","45",".204",".338",".258","2","11","6","15",".219",
"Yastrzemski, Mike","573262","2022","104","141","61",".214",".392",".261","5","3","5","22",".220",
"Contreras, Willson","575929","2022","101","103","45",".243",".466",".270","4","14","24","30",".256",
"Iglesias, Jose","578428","2022","128","56","17",".292",".380",".326","2","11","8","60",".266",
"Bryant, Kris","592178","2022","49","27","17",".306",".475",".338","0","7","2","11",".279",
"Canha, Mark","592192","2022","123","97","48",".266",".403",".309","3","3","28","47",".245",
"Casali, Curt","592200","2022","30","50","24",".203",".331",".263","0","1","2","2",".189",
"Castellanos, Nick","592206","2022","138","130","29",".263",".389",".326","7","15","3","46",".250",
"Drury, Brandon","592273","2022","136","126","38",".263",".492",".293","2","8","8","38",".242",
"Gamel, Ben","592325","2022","86","98","48",".232",".369",".291","5","5","3","25",".244",
"Judge, Aaron","592450","2022","177","175","111",".311",".686",".340","16","14","6","37",".305",
"Machado, Manny","592518","2022","172","133","63",".298",".531",".337","9","12","1","47",".264",
"Moran, Colin","592567","2022","23","30","16",".211",".376",".234","0","4","0","7",".233",
"Pederson, Joc","592626","2022","104","100","42",".274",".521",".310","3","5","7","33",".266",
"Realmuto, J.T.","592663","2022","139","119","41",".276",".478",".318","21","7","12","46",".275",
"Renfroe, Hunter","592669","2022","121","121","39",".255",".492",".281","1","11","4","37",".240",
"Rosario, Eddie","592696","2022","53","68","17",".212",".328",".267","3","3","0","12",".200",
"Yelich, Christian","592885","2022","145","162","88",".252",".383",".327","19","9","5","66",".254",
"Merrifield, Whit","593160","2022","126","85","38",".250",".375",".276","16","11","0","47",".240",
"Bogaerts, Xander","593428","2022","171","118","57",".307",".456",".362","8","14","10","72",".259",
"Alberto, Hanser","593643","2022","38","25","3",".244",".365",".279","0","7","0","13",".216",
"Polanco, Jorge","593871","2022","88","95","64",".235",".405",".269","3","4","2","17",".248",
"Calhoun, Kole","594777","2022","76","136","27",".196",".330",".263","3","6","6","15",".223",
"Duvall, Adam","594807","2022","61","101","21",".213",".401",".278","0","2","5","11",".209",
"Kiermaier, Kevin","595281","2022","47","61","14",".228",".369",".290","6","2","1","16",".250",
"Alfaro, Jorge","595751","2022","63","98","11",".246",".383",".364","1","5","4","22",".238",
